ordem,latitude,longitude,datahora,velocidade,linha,datahoraenvio,datahoraservidor,momento_extracao
D33310,"-22,90035","-43,57271",1780399292000,12,821,1780399297000,1780399302000,2026-06-02 09:21:55
D33210,"-22,88462","-43,56186",1780399291000,13,821,1780399297000,1780399302000,2026-06-02 09:21:55
D33211,"-22,89636","-43,54712",1780399290000,18,826,1780399297000,1780399302000,2026-06-02 09:21:55
D33046,"-22,89091","-43,44855",1780399290000,33,791,1780399297000,1780399302000,2026-06-02 09:21:55
D17521,"-22,8995","-43,56139",1780399288000,29,2336,1780399297000,1780399314000,2026-06-02 09:21:55
D17520,"-22,90321","-43,18605",1780399287000,14,2336,1780399297000,1780399314000,2026-06-02 09:21:55
D17524,"-22,90752","-43,2094",1780399290000,37,2336,1780399297000,1780399314000,2026-06-02 09:21:55
D17520,"-22,90324","-43,18612",1780399289000,12,2336,1780399297000,1780399314000,2026-06-02 09:21:55
D17522,"-22,83944","-43,36826",1780399290000,62,2339,1780399297000,1780399314000,2026-06-02 09:21:55
D87833,"-22,85484","-43,48799",1780399290000,26,2339,1780399297000,1780399314000,2026-06-02 09:21:55
D87753,"-22,87068","-43,5093",1780399293000,44,2339,1780399297000,1780399314000,2026-06-02 09:21:55
D87865,"-22,91726","-43,60739",1780399294000,0,2336,1780399297000,1780399314000,2026-06-02 09:21:55
B63031,"-22,89964","-43,21091",1780399285000,0,167,1780399297000,1780399321000,2026-06-02 09:21:55
B63021,"-22,85383","-43,26171",1780399284000,12,920,1780399297000,1780399321000,2026-06-02 09:21:55
B63014,"-22,86612","-43,25602",1780399287000,25,920,1780399297000,1780399321000,2026-06-02 09:21:55
A63526,"-22,92908","-43,17937",1780399283000,0,104,1780399297000,1780399321000,2026-06-02 09:21:55
A63515,"-22,95004","-43,17794",1780399287000,46,107,1780399297000,1780399321000,2026-06-02 09:21:55
A63513,"-22,80451","-43,36473",1780399287000,0,920,1780399297000,1780399321000,2026-06-02 09:21:55
A63516,"-22,89875","-43,21161",1780399289000,0,104,1780399297000,1780399321000,2026-06-02 09:21:55
A63501,"-22,81963","-43,35978",1780399289000,12,920,1780399297000,1780399321000,2026-06-02 09:21:55
B63099,"-22,82271","-43,28029",1780399289000,22,665,1780399297000,1780399321000,2026-06-02 09:21:55
B63009,"-22,86699","-43,25689",1780399289000,0,920,1780399297000,1780399321000,2026-06-02 09:21:55
