ordem,latitude,longitude,datahora,velocidade,linha,datahoraenvio,datahoraservidor,momento_extracao,data,hora,minuto,dia_semana,latencia_envio_s,latencia_servidor_s
D86050,-22.92174,-43.56378,2026-06-02 08:25:51-03:00,0,834,2026-06-02 08:25:55-03:00,2026-06-02 08:26:14-03:00,2026-06-02 09:21:55,2026-06-02,8,25,Tuesday,4.0,19.0
B63043,-22.83421,-43.26319,2026-06-02 08:52:30-03:00,27,335,2026-06-02 08:52:40-03:00,2026-06-02 08:53:10-03:00,2026-06-02 09:21:55,2026-06-02,8,52,Tuesday,10.0,30.0
C30214,-22.95306,-43.37529,2026-06-02 08:39:06-03:00,36,954,2026-06-02 08:39:10-03:00,2026-06-02 08:39:37-03:00,2026-06-02 09:21:55,2026-06-02,8,39,Tuesday,4.0,27.0
A71534,-22.90005,-43.21043,2026-06-02 09:16:26-03:00,16,133,2026-06-02 09:16:37-03:00,2026-06-02 09:16:47-03:00,2026-06-02 09:21:55,2026-06-02,9,16,Tuesday,11.0,10.0
D86162,-22.93675,-43.57588,2026-06-02 09:03:35-03:00,12,838,2026-06-02 09:03:38-03:00,2026-06-02 09:03:53-03:00,2026-06-02 09:21:55,2026-06-02,9,3,Tuesday,3.0,15.0
D33012,-22.88916,-43.21614,2026-06-02 09:06:42-03:00,36,397,2026-06-02 09:06:55-03:00,2026-06-02 09:07:09-03:00,2026-06-02 09:21:55,2026-06-02,9,6,Tuesday,13.0,14.0
D13337,-22.99619,-43.31224,2026-06-02 08:57:07-03:00,26,863,2026-06-02 08:57:20-03:00,2026-06-02 08:57:36-03:00,2026-06-02 09:21:55,2026-06-02,8,57,Tuesday,13.0,16.0
A71590,-22.93561,-43.19404,2026-06-02 08:55:21-03:00,13,133,2026-06-02 08:56:34-03:00,2026-06-02 08:56:52-03:00,2026-06-02 09:21:55,2026-06-02,8,55,Tuesday,73.0,18.0
B71004,-22.90896,-43.20195,2026-06-02 08:27:26-03:00,9,247,2026-06-02 08:28:43-03:00,2026-06-02 08:28:46-03:00,2026-06-02 09:21:55,2026-06-02,8,27,Tuesday,77.0,3.0
C30186,-22.9472,-43.36019,2026-06-02 08:37:54-03:00,16,550,2026-06-02 08:38:05-03:00,2026-06-02 08:38:35-03:00,2026-06-02 09:21:55,2026-06-02,8,37,Tuesday,11.0,30.0
C13058,-22.97624,-43.33482,2026-06-02 08:37:53-03:00,0,880,2026-06-02 08:37:56-03:00,2026-06-02 08:38:06-03:00,2026-06-02 09:21:55,2026-06-02,8,37,Tuesday,3.0,10.0
D33142,-22.856,-43.49491,2026-06-02 08:58:22-03:00,40,754,2026-06-02 08:58:28-03:00,2026-06-02 08:58:51-03:00,2026-06-02 09:21:55,2026-06-02,8,58,Tuesday,6.0,23.0
C30115,-22.97362,-43.36642,2026-06-02 09:18:23-03:00,25,881,2026-06-02 09:18:29-03:00,2026-06-02 09:18:41-03:00,2026-06-02 09:21:55,2026-06-02,9,18,Tuesday,6.0,12.0
B32516,-22.88466,-43.29805,2026-06-02 08:38:58-03:00,12,265,2026-06-02 08:39:00-03:00,2026-06-02 08:39:08-03:00,2026-06-02 09:21:55,2026-06-02,8,38,Tuesday,2.0,8.0
C47474,-22.97231,-43.4141,2026-06-02 08:57:10-03:00,3,611,2026-06-02 08:57:20-03:00,2026-06-02 08:57:36-03:00,2026-06-02 09:21:55,2026-06-02,8,57,Tuesday,10.0,16.0
C30192,-23.00212,-43.27486,2026-06-02 08:24:49-03:00,55,555,2026-06-02 08:25:00-03:00,2026-06-02 08:25:14-03:00,2026-06-02 09:21:55,2026-06-02,8,24,Tuesday,11.0,14.0
A72059,-22.99845,-43.25459,2026-06-02 08:54:52-03:00,52,LECD131,2026-06-02 08:55:01-03:00,2026-06-02 08:55:28-03:00,2026-06-02 09:21:55,2026-06-02,8,54,Tuesday,9.0,27.0
D33287,-22.89426,-43.53566,2026-06-02 08:44:47-03:00,38,786,2026-06-02 08:44:59-03:00,2026-06-02 08:45:11-03:00,2026-06-02 09:21:55,2026-06-02,8,44,Tuesday,12.0,12.0
B58104,-22.85329,-43.26235,2026-06-02 08:53:22-03:00,3,625,2026-06-02 08:53:25-03:00,2026-06-02 08:53:54-03:00,2026-06-02 09:21:55,2026-06-02,8,53,Tuesday,3.0,29.0
B44572,-22.85926,-43.37351,2026-06-02 08:33:01-03:00,28,638,2026-06-02 08:33:06-03:00,2026-06-02 08:33:17-03:00,2026-06-02 09:21:55,2026-06-02,8,33,Tuesday,5.0,11.0
D18501,-22.90462,-43.18867,2026-06-02 08:29:54-03:00,0,2336,2026-06-02 08:29:59-03:00,2026-06-02 08:30:17-03:00,2026-06-02 09:21:55,2026-06-02,8,29,Tuesday,5.0,18.0
B28594,-22.89395,-43.2582,2026-06-02 08:26:57-03:00,0,696,2026-06-02 08:27:06-03:00,2026-06-02 08:27:18-03:00,2026-06-02 09:21:55,2026-06-02,8,26,Tuesday,9.0,12.0
C50063,-22.98523,-43.50585,2026-06-02 09:20:59-03:00,36,810,2026-06-02 09:21:07-03:00,2026-06-02 09:21:30-03:00,2026-06-02 09:21:55,2026-06-02,9,20,Tuesday,8.0,23.0
C47737,-23.0017,-43.36686,2026-06-02 09:07:30-03:00,21,691,2026-06-02 09:07:33-03:00,2026-06-02 09:07:53-03:00,2026-06-02 09:21:55,2026-06-02,9,7,Tuesday,3.0,20.0
D13210,-22.92691,-43.37355,2026-06-02 09:17:15-03:00,14,803,2026-06-02 09:17:24-03:00,2026-06-02 09:17:39-03:00,2026-06-02 09:21:55,2026-06-02,9,17,Tuesday,9.0,15.0
C47503,-22.91382,-43.23684,2026-06-02 08:23:52-03:00,27,600,2026-06-02 08:23:57-03:00,2026-06-02 08:24:11-03:00,2026-06-02 09:21:55,2026-06-02,8,23,Tuesday,5.0,14.0
A48031,-22.97977,-43.2345,2026-06-02 08:33:14-03:00,27,LECD138,2026-06-02 08:33:33-03:00,2026-06-02 08:33:37-03:00,2026-06-02 09:21:55,2026-06-02,8,33,Tuesday,19.0,4.0
D33117,-22.86809,-43.47993,2026-06-02 08:37:00-03:00,0,731,2026-06-02 08:37:09-03:00,2026-06-02 08:37:11-03:00,2026-06-02 09:21:55,2026-06-02,8,37,Tuesday,9.0,2.0
D53634,-22.87016,-43.59973,2026-06-02 08:46:56-03:00,27,SP759,2026-06-02 08:47:04-03:00,2026-06-02 08:47:14-03:00,2026-06-02 09:21:55,2026-06-02,8,46,Tuesday,8.0,10.0
