ordem,latitude,longitude,datahora,velocidade,linha,datahoraenvio,datahoraservidor,momento_extracao,data,hora,minuto,dia_semana,latencia_envio_s,latencia_servidor_s
D86296,-22.8618,-43.3306,2026-06-02 09:11:14-03:00,37,918,2026-06-02 09:11:24-03:00,2026-06-02 09:11:37-03:00,2026-06-02 09:21:55,2026-06-02,9,11,Tuesday,10.0,13.0
B10010,-22.90239,-43.18239,2026-06-02 08:25:43-03:00,0,328,2026-06-02 08:25:49-03:00,2026-06-02 08:26:05-03:00,2026-06-02 09:21:55,2026-06-02,8,25,Tuesday,6.0,16.0
C47697,-22.92149,-43.3303,2026-06-02 08:42:17-03:00,51,613,2026-06-02 08:43:59-03:00,2026-06-02 08:44:16-03:00,2026-06-02 09:21:55,2026-06-02,8,42,Tuesday,102.0,17.0
C30189,-22.9912,-43.31156,2026-06-02 08:28:38-03:00,13,555,2026-06-02 08:28:44-03:00,2026-06-02 08:28:49-03:00,2026-06-02 09:21:55,2026-06-02,8,28,Tuesday,6.0,5.0
B27068,-22.89891,-43.23595,2026-06-02 09:10:22-03:00,11,630,2026-06-02 09:10:31-03:00,2026-06-02 09:10:58-03:00,2026-06-02 09:21:55,2026-06-02,9,10,Tuesday,9.0,27.0
C30371,-22.92495,-43.36068,2026-06-02 08:51:26-03:00,25,565,2026-06-02 08:51:32-03:00,2026-06-02 08:51:57-03:00,2026-06-02 09:21:55,2026-06-02,8,51,Tuesday,6.0,25.0
B10080,-22.81439,-43.18674,2026-06-02 09:10:31-03:00,0,MANUTENCAO,2026-06-02 09:10:40-03:00,2026-06-02 09:11:03-03:00,2026-06-02 09:21:55,2026-06-02,9,10,Tuesday,9.0,23.0
B63033,-22.88593,-43.23482,2026-06-02 09:12:49-03:00,1,665,2026-06-02 09:12:57-03:00,2026-06-02 09:13:06-03:00,2026-06-02 09:21:55,2026-06-02,9,12,Tuesday,8.0,9.0
B11590,-22.81966,-43.31287,2026-06-02 08:44:07-03:00,22,LECD147,2026-06-02 08:44:17-03:00,2026-06-02 08:44:28-03:00,2026-06-02 09:21:55,2026-06-02,8,44,Tuesday,10.0,11.0
B27143,-22.8421,-43.3138,2026-06-02 08:57:16-03:00,29,629,2026-06-02 08:57:17-03:00,2026-06-02 08:57:38-03:00,2026-06-02 09:21:55,2026-06-02,8,57,Tuesday,1.0,21.0
A71523,-22.90899,-43.18861,2026-06-02 08:32:17-03:00,0,217,2026-06-02 08:32:26-03:00,2026-06-02 08:32:51-03:00,2026-06-02 09:21:55,2026-06-02,8,32,Tuesday,9.0,25.0
B31120,-22.93276,-43.17379,2026-06-02 08:56:22-03:00,64,SPA483,2026-06-02 08:56:24-03:00,2026-06-02 08:56:50-03:00,2026-06-02 09:21:55,2026-06-02,8,56,Tuesday,2.0,26.0
D86106,-22.85842,-43.46583,2026-06-02 08:27:49-03:00,12,853,2026-06-02 08:28:00-03:00,2026-06-02 08:28:17-03:00,2026-06-02 09:21:55,2026-06-02,8,27,Tuesday,11.0,17.0
C47538,-23.00066,-43.33865,2026-06-02 09:17:53-03:00,0,553,2026-06-02 09:18:06-03:00,2026-06-02 09:18:40-03:00,2026-06-02 09:21:55,2026-06-02,9,17,Tuesday,13.0,34.0
D17018,-22.92104,-43.68122,2026-06-02 08:30:33-03:00,7,892,2026-06-02 08:30:42-03:00,2026-06-02 08:31:08-03:00,2026-06-02 09:21:55,2026-06-02,8,30,Tuesday,9.0,26.0
A72175,-22.94915,-43.18389,2026-06-02 08:56:27-03:00,0,LECD131,2026-06-02 08:56:36-03:00,2026-06-02 08:57:00-03:00,2026-06-02 09:21:55,2026-06-02,8,56,Tuesday,9.0,24.0
A72060,-22.9457,-43.20775,2026-06-02 08:56:30-03:00,2,507,2026-06-02 08:56:48-03:00,2026-06-02 08:57:00-03:00,2026-06-02 09:21:55,2026-06-02,8,56,Tuesday,18.0,12.0
C51624,-22.8534,-43.38476,2026-06-02 09:17:36-03:00,0,SV624,2026-06-02 09:17:44-03:00,2026-06-02 09:18:05-03:00,2026-06-02 09:21:55,2026-06-02,9,17,Tuesday,8.0,21.0
D53575,-22.82776,-43.27381,2026-06-02 09:07:59-03:00,5,397,2026-06-02 09:08:08-03:00,2026-06-02 09:08:10-03:00,2026-06-02 09:21:55,2026-06-02,9,7,Tuesday,9.0,2.0
D86053,-22.93467,-43.57848,2026-06-02 09:00:11-03:00,16,838,2026-06-02 09:00:17-03:00,2026-06-02 09:00:47-03:00,2026-06-02 09:21:55,2026-06-02,9,0,Tuesday,6.0,30.0
B28580,-22.8925,-43.2217,2026-06-02 08:42:33-03:00,5,324,2026-06-02 08:42:40-03:00,2026-06-02 08:43:08-03:00,2026-06-02 09:21:55,2026-06-02,8,42,Tuesday,7.0,28.0
D33311,-22.86224,-43.54121,2026-06-02 08:28:51-03:00,30,826,2026-06-02 08:29:01-03:00,2026-06-02 08:29:27-03:00,2026-06-02 09:21:55,2026-06-02,8,28,Tuesday,10.0,26.0
D86072,-22.90757,-43.56302,2026-06-02 08:34:39-03:00,0,838,2026-06-02 08:34:44-03:00,2026-06-02 08:35:00-03:00,2026-06-02 09:21:55,2026-06-02,8,34,Tuesday,5.0,16.0
C50154,-22.98068,-43.29286,2026-06-02 09:00:28-03:00,11,301,2026-06-02 09:00:40-03:00,2026-06-02 09:00:59-03:00,2026-06-02 09:21:55,2026-06-02,9,0,Tuesday,12.0,19.0
B10020,-22.86429,-43.23953,2026-06-02 08:54:20-03:00,0,913,2026-06-02 08:54:28-03:00,2026-06-02 08:54:41-03:00,2026-06-02 09:21:55,2026-06-02,8,54,Tuesday,8.0,13.0
A48094,-22.95283,-43.18192,2026-06-02 08:58:59-03:00,18,426,2026-06-02 08:59:10-03:00,2026-06-02 08:59:14-03:00,2026-06-02 09:21:55,2026-06-02,8,58,Tuesday,11.0,4.0
B10047,-22.78835,-43.16256,2026-06-02 09:15:01-03:00,11,SV922,2026-06-02 09:15:09-03:00,2026-06-02 09:15:10-03:00,2026-06-02 09:21:55,2026-06-02,9,15,Tuesday,8.0,1.0
B71079,-22.95562,-43.18052,2026-06-02 08:44:22-03:00,14,457,2026-06-02 08:44:26-03:00,2026-06-02 08:44:35-03:00,2026-06-02 09:21:55,2026-06-02,8,44,Tuesday,4.0,9.0
B25552,-22.90213,-43.2549,2026-06-02 08:54:33-03:00,0,249,2026-06-02 08:54:37-03:00,2026-06-02 08:54:47-03:00,2026-06-02 09:21:55,2026-06-02,8,54,Tuesday,4.0,10.0
C30224,-22.93299,-43.37269,2026-06-02 08:40:55-03:00,0,900,2026-06-02 08:41:06-03:00,2026-06-02 08:41:12-03:00,2026-06-02 09:21:55,2026-06-02,8,40,Tuesday,11.0,6.0
C51572,-22.90372,-43.21555,2026-06-02 09:10:46-03:00,0,371,2026-06-02 09:10:57-03:00,2026-06-02 09:11:27-03:00,2026-06-02 09:21:55,2026-06-02,9,10,Tuesday,11.0,30.0
C30017,-22.92724,-43.34961,2026-06-02 08:46:28-03:00,2,610,2026-06-02 08:46:35-03:00,2026-06-02 08:46:52-03:00,2026-06-02 09:21:55,2026-06-02,8,46,Tuesday,7.0,17.0
A29002,-22.98438,-43.22321,2026-06-02 08:22:11-03:00,16,583,2026-06-02 08:22:15-03:00,2026-06-02 08:22:44-03:00,2026-06-02 09:21:55,2026-06-02,8,22,Tuesday,4.0,29.0
B27088,-22.83414,-43.27737,2026-06-02 08:45:27-03:00,40,975,2026-06-02 08:45:32-03:00,2026-06-02 08:45:49-03:00,2026-06-02 09:21:55,2026-06-02,8,45,Tuesday,5.0,17.0
D86218,-22.9842,-43.69537,2026-06-02 08:54:48-03:00,0,872,2026-06-02 08:54:56-03:00,2026-06-02 08:55:06-03:00,2026-06-02 09:21:55,2026-06-02,8,54,Tuesday,8.0,10.0
B27075,-22.86866,-43.25459,2026-06-02 09:15:57-03:00,0,905,2026-06-02 09:16:01-03:00,2026-06-02 09:16:05-03:00,2026-06-02 09:21:55,2026-06-02,9,15,Tuesday,4.0,4.0
D13037,-22.92861,-43.35648,2026-06-02 08:53:15-03:00,8,878,2026-06-02 08:53:28-03:00,2026-06-02 08:54:00-03:00,2026-06-02 09:21:55,2026-06-02,8,53,Tuesday,13.0,32.0
B10151,-22.88561,-43.22703,2026-06-02 09:18:43-03:00,0,323,2026-06-02 09:18:47-03:00,2026-06-02 09:19:15-03:00,2026-06-02 09:21:55,2026-06-02,9,18,Tuesday,4.0,28.0
D86071,-22.93217,-43.55553,2026-06-02 09:05:40-03:00,18,845,2026-06-02 09:05:45-03:00,2026-06-02 09:05:56-03:00,2026-06-02 09:21:55,2026-06-02,9,5,Tuesday,5.0,11.0
D86297,-22.88364,-43.46478,2026-06-02 09:19:16-03:00,31,918,2026-06-02 09:19:23-03:00,2026-06-02 09:19:51-03:00,2026-06-02 09:21:55,2026-06-02,9,19,Tuesday,7.0,28.0
B11637,-22.87141,-43.28897,2026-06-02 09:00:48-03:00,0,908,2026-06-02 09:00:50-03:00,2026-06-02 09:01:20-03:00,2026-06-02 09:21:55,2026-06-02,9,0,Tuesday,2.0,30.0
C47784,-22.9306,-43.37912,2026-06-02 09:02:49-03:00,27,390,2026-06-02 09:02:57-03:00,2026-06-02 09:03:15-03:00,2026-06-02 09:21:55,2026-06-02,9,2,Tuesday,8.0,18.0
B28512,-22.81309,-43.20742,2026-06-02 09:08:00-03:00,6,325,2026-06-02 09:08:04-03:00,2026-06-02 09:08:12-03:00,2026-06-02 09:21:55,2026-06-02,9,8,Tuesday,4.0,8.0
B58106,-22.88203,-43.25543,2026-06-02 08:45:45-03:00,1,621,2026-06-02 08:46:27-03:00,2026-06-02 08:46:45-03:00,2026-06-02 09:21:55,2026-06-02,8,45,Tuesday,42.0,18.0
C47711,-22.88113,-43.23911,2026-06-02 08:42:42-03:00,16,361,2026-06-02 08:42:53-03:00,2026-06-02 08:43:14-03:00,2026-06-02 09:21:55,2026-06-02,8,42,Tuesday,11.0,21.0
A50218,-22.92931,-43.25346,2026-06-02 08:39:02-03:00,0,TREINA,2026-06-02 08:39:12-03:00,2026-06-02 08:39:30-03:00,2026-06-02 09:21:55,2026-06-02,8,39,Tuesday,10.0,18.0
A63515,-22.90453,-43.19241,2026-06-02 08:58:01-03:00,27,107,2026-06-02 08:58:08-03:00,2026-06-02 08:58:16-03:00,2026-06-02 09:21:55,2026-06-02,8,58,Tuesday,7.0,8.0
C30091,-22.95434,-43.33763,2026-06-02 08:59:08-03:00,0,550,2026-06-02 08:59:16-03:00,2026-06-02 08:59:39-03:00,2026-06-02 09:21:55,2026-06-02,8,59,Tuesday,8.0,23.0
D13200,-22.88702,-43.44508,2026-06-02 09:15:02-03:00,18,801,2026-06-02 09:15:10-03:00,2026-06-02 09:15:35-03:00,2026-06-02 09:21:55,2026-06-02,9,15,Tuesday,8.0,25.0
D13165,-22.91567,-43.36125,2026-06-02 08:59:04-03:00,0,878,2026-06-02 08:59:15-03:00,2026-06-02 08:59:39-03:00,2026-06-02 09:21:55,2026-06-02,8,59,Tuesday,11.0,24.0
C50139,-22.90391,-43.21034,2026-06-02 08:25:27-03:00,0,301,2026-06-02 08:25:37-03:00,2026-06-02 08:25:41-03:00,2026-06-02 09:21:55,2026-06-02,8,25,Tuesday,10.0,4.0
D33244,-22.82882,-43.34465,2026-06-02 08:35:51-03:00,41,397,2026-06-02 08:36:04-03:00,2026-06-02 08:36:30-03:00,2026-06-02 09:21:55,2026-06-02,8,35,Tuesday,13.0,26.0
A71569,-22.90006,-43.18761,2026-06-02 08:51:00-03:00,9,100,2026-06-02 08:51:03-03:00,2026-06-02 08:51:15-03:00,2026-06-02 09:21:55,2026-06-02,8,51,Tuesday,3.0,12.0
C30216,-22.92236,-43.37399,2026-06-02 08:56:50-03:00,12,900,2026-06-02 08:56:59-03:00,2026-06-02 08:57:06-03:00,2026-06-02 09:21:55,2026-06-02,8,56,Tuesday,9.0,7.0
D53522,-22.86217,-43.44518,2026-06-02 09:04:55-03:00,0,388,2026-06-02 09:04:59-03:00,2026-06-02 09:05:06-03:00,2026-06-02 09:21:55,2026-06-02,9,4,Tuesday,4.0,7.0
D17002,-22.89446,-43.57676,2026-06-02 09:12:13-03:00,31,808,2026-06-02 09:12:21-03:00,2026-06-02 09:12:30-03:00,2026-06-02 09:21:55,2026-06-02,9,12,Tuesday,8.0,9.0
B10083,-22.83896,-43.23977,2026-06-02 08:36:55-03:00,0,901,2026-06-02 08:37:03-03:00,2026-06-02 08:37:19-03:00,2026-06-02 09:21:55,2026-06-02,8,36,Tuesday,8.0,16.0
D86328,-22.9606,-43.58164,2026-06-02 09:03:06-03:00,38,853,2026-06-02 09:03:17-03:00,2026-06-02 09:03:22-03:00,2026-06-02 09:21:55,2026-06-02,9,3,Tuesday,11.0,5.0
B27248,-22.90463,-43.24358,2026-06-02 09:11:55-03:00,0,630,2026-06-02 09:12:06-03:00,2026-06-02 09:12:29-03:00,2026-06-02 09:21:55,2026-06-02,9,11,Tuesday,11.0,23.0
C51541,-22.90089,-43.34689,2026-06-02 09:02:28-03:00,0,371,2026-06-02 09:02:37-03:00,2026-06-02 09:02:45-03:00,2026-06-02 09:21:55,2026-06-02,9,2,Tuesday,9.0,8.0
C47516,-22.98896,-43.36546,2026-06-02 08:47:52-03:00,61,361,2026-06-02 08:48:01-03:00,2026-06-02 08:48:23-03:00,2026-06-02 09:21:55,2026-06-02,8,47,Tuesday,9.0,22.0
C51567,-22.882,-43.32616,2026-06-02 08:56:28-03:00,14,SV624,2026-06-02 08:56:30-03:00,2026-06-02 08:56:37-03:00,2026-06-02 09:21:55,2026-06-02,8,56,Tuesday,2.0,7.0
A48045,-22.9249,-43.20799,2026-06-02 08:57:46-03:00,0,426,2026-06-02 08:57:57-03:00,2026-06-02 08:58:13-03:00,2026-06-02 09:21:55,2026-06-02,8,57,Tuesday,11.0,16.0
B10062,-22.80901,-43.19596,2026-06-02 09:05:40-03:00,16,328,2026-06-02 09:05:41-03:00,2026-06-02 09:05:56-03:00,2026-06-02 09:21:55,2026-06-02,9,5,Tuesday,1.0,15.0
C47469,-23.00195,-43.36723,2026-06-02 08:50:44-03:00,25,554,2026-06-02 08:50:52-03:00,2026-06-02 08:50:57-03:00,2026-06-02 09:21:55,2026-06-02,8,50,Tuesday,8.0,5.0
A71590,-22.93075,-43.20185,2026-06-02 08:34:57-03:00,22,133,2026-06-02 08:35:01-03:00,2026-06-02 08:35:25-03:00,2026-06-02 09:21:55,2026-06-02,8,34,Tuesday,4.0,24.0
A71625,-22.95141,-43.18439,2026-06-02 09:18:33-03:00,11,LECD138,2026-06-02 09:18:40-03:00,2026-06-02 09:18:49-03:00,2026-06-02 09:21:55,2026-06-02,9,18,Tuesday,7.0,9.0
D53575,-22.86263,-43.44273,2026-06-02 08:27:03-03:00,22,397,2026-06-02 08:27:11-03:00,2026-06-02 08:27:18-03:00,2026-06-02 09:21:55,2026-06-02,8,27,Tuesday,8.0,7.0
C30225,-22.92655,-43.37158,2026-06-02 09:05:09-03:00,26,990,2026-06-02 09:05:14-03:00,2026-06-02 09:05:19-03:00,2026-06-02 09:21:55,2026-06-02,9,5,Tuesday,5.0,5.0
C47509,-22.90383,-43.3045,2026-06-02 09:14:57-03:00,0,692,2026-06-02 09:15:10-03:00,2026-06-02 09:15:35-03:00,2026-06-02 09:21:55,2026-06-02,9,14,Tuesday,13.0,25.0
B32809,-22.82706,-43.40049,2026-06-02 09:03:05-03:00,31,780,2026-06-02 09:03:15-03:00,2026-06-02 09:03:39-03:00,2026-06-02 09:21:55,2026-06-02,9,3,Tuesday,10.0,24.0
B11582,-22.81911,-43.30944,2026-06-02 08:30:25-03:00,20,665,2026-06-02 08:35:35-03:00,2026-06-02 08:35:47-03:00,2026-06-02 09:21:55,2026-06-02,8,30,Tuesday,310.0,12.0
C47495,-22.90844,-43.31454,2026-06-02 08:57:22-03:00,63,315,2026-06-02 08:57:31-03:00,2026-06-02 08:57:37-03:00,2026-06-02 09:21:55,2026-06-02,8,57,Tuesday,9.0,6.0
B51598,-22.88095,-43.27093,2026-06-02 09:13:11-03:00,48,SP265,2026-06-02 09:13:13-03:00,2026-06-02 09:13:30-03:00,2026-06-02 09:21:55,2026-06-02,9,13,Tuesday,2.0,17.0
A29090,-22.8895,-43.22861,2026-06-02 08:46:17-03:00,11,209,2026-06-02 08:46:22-03:00,2026-06-02 08:46:45-03:00,2026-06-02 09:21:55,2026-06-02,8,46,Tuesday,5.0,23.0
B58023,-22.86605,-43.26909,2026-06-02 09:18:35-03:00,13,623,2026-06-02 09:18:39-03:00,2026-06-02 09:18:56-03:00,2026-06-02 09:21:55,2026-06-02,9,18,Tuesday,4.0,17.0
B44621,-22.87384,-43.33688,2026-06-02 09:14:13-03:00,19,638,2026-06-02 09:14:22-03:00,2026-06-02 09:14:26-03:00,2026-06-02 09:21:55,2026-06-02,9,14,Tuesday,9.0,4.0
D33235,-22.87498,-43.45213,2026-06-02 08:58:28-03:00,16,926,2026-06-02 08:59:11-03:00,2026-06-02 08:59:22-03:00,2026-06-02 09:21:55,2026-06-02,8,58,Tuesday,43.0,11.0
A72064,-22.91605,-43.22173,2026-06-02 09:06:20-03:00,0,422,2026-06-02 09:06:31-03:00,2026-06-02 09:06:44-03:00,2026-06-02 09:21:55,2026-06-02,9,6,Tuesday,11.0,13.0
C30130,-22.91644,-43.36218,2026-06-02 08:43:26-03:00,6,565,2026-06-02 08:43:35-03:00,2026-06-02 08:43:46-03:00,2026-06-02 09:21:55,2026-06-02,8,43,Tuesday,9.0,11.0
B31021,-22.8678,-43.25479,2026-06-02 08:27:00-03:00,11,483,2026-06-02 08:27:08-03:00,2026-06-02 08:27:13-03:00,2026-06-02 09:21:55,2026-06-02,8,27,Tuesday,8.0,5.0
D13284,-22.94524,-43.3638,2026-06-02 08:27:07-03:00,0,611,2026-06-02 08:27:17-03:00,2026-06-02 08:27:47-03:00,2026-06-02 09:21:55,2026-06-02,8,27,Tuesday,10.0,30.0
A72058,-22.90455,-43.19227,2026-06-02 08:26:57-03:00,6,007,2026-06-02 08:27:01-03:00,2026-06-02 08:27:25-03:00,2026-06-02 09:21:55,2026-06-02,8,26,Tuesday,4.0,24.0
B11588,-22.89694,-43.23679,2026-06-02 09:03:22-03:00,18,665,2026-06-02 09:03:26-03:00,2026-06-02 09:03:53-03:00,2026-06-02 09:21:55,2026-06-02,9,3,Tuesday,4.0,27.0
A29035,-22.90188,-43.181,2026-06-02 09:11:29-03:00,14,210,2026-06-02 09:11:31-03:00,2026-06-02 09:11:47-03:00,2026-06-02 09:21:55,2026-06-02,9,11,Tuesday,2.0,16.0
D33424,-22.91967,-43.6843,2026-06-02 08:42:35-03:00,23,759,2026-06-02 08:42:43-03:00,2026-06-02 08:43:08-03:00,2026-06-02 09:21:55,2026-06-02,8,42,Tuesday,8.0,25.0
B71017,-22.91325,-43.18098,2026-06-02 08:54:35-03:00,0,238,2026-06-02 08:54:37-03:00,2026-06-02 08:54:48-03:00,2026-06-02 09:21:55,2026-06-02,8,54,Tuesday,2.0,11.0
C30205,-22.97182,-43.33606,2026-06-02 08:58:46-03:00,7,550,2026-06-02 08:59:57-03:00,2026-06-02 09:00:12-03:00,2026-06-02 09:21:55,2026-06-02,8,58,Tuesday,71.0,15.0
D33213,-22.90331,-43.56651,2026-06-02 08:58:14-03:00,9,841,2026-06-02 08:58:20-03:00,2026-06-02 08:58:23-03:00,2026-06-02 09:21:55,2026-06-02,8,58,Tuesday,6.0,3.0
C51623,-22.89611,-43.31285,2026-06-02 09:08:18-03:00,0,607,2026-06-02 09:08:20-03:00,2026-06-02 09:08:54-03:00,2026-06-02 09:21:55,2026-06-02,9,8,Tuesday,2.0,34.0
B27213,-22.82857,-43.31937,2026-06-02 09:01:40-03:00,0,LECD145,2026-06-02 09:01:44-03:00,2026-06-02 09:02:15-03:00,2026-06-02 09:21:55,2026-06-02,9,1,Tuesday,4.0,31.0
B27014,-22.87007,-43.26841,2026-06-02 08:45:46-03:00,5,629,2026-06-02 08:45:51-03:00,2026-06-02 08:46:20-03:00,2026-06-02 09:21:55,2026-06-02,8,45,Tuesday,5.0,29.0
D12052,-22.89711,-43.55767,2026-06-02 08:39:50-03:00,40,850,2026-06-02 08:39:58-03:00,2026-06-02 08:40:24-03:00,2026-06-02 09:21:55,2026-06-02,8,39,Tuesday,8.0,26.0
C47978,-22.88577,-43.2287,2026-06-02 09:11:38-03:00,11,2112,2026-06-02 09:11:47-03:00,2026-06-02 09:12:02-03:00,2026-06-02 09:21:55,2026-06-02,9,11,Tuesday,9.0,15.0
D33011,-22.81974,-43.28334,2026-06-02 08:48:00-03:00,0,397,2026-06-02 08:48:06-03:00,2026-06-02 08:48:15-03:00,2026-06-02 09:21:55,2026-06-02,8,48,Tuesday,6.0,9.0
C44510,-22.85016,-43.33172,2026-06-02 09:13:35-03:00,14,785,2026-06-02 09:13:41-03:00,2026-06-02 09:13:57-03:00,2026-06-02 09:21:55,2026-06-02,9,13,Tuesday,6.0,16.0
D33263,-22.87428,-43.42969,2026-06-02 08:36:16-03:00,34,926,2026-06-02 08:36:26-03:00,2026-06-02 08:36:40-03:00,2026-06-02 09:21:55,2026-06-02,8,36,Tuesday,10.0,14.0
B32787,-22.90684,-43.19249,2026-06-02 09:06:15-03:00,5,296,2026-06-02 09:06:34-03:00,2026-06-02 09:06:43-03:00,2026-06-02 09:21:55,2026-06-02,9,6,Tuesday,19.0,9.0
D13077,-22.91846,-43.3682,2026-06-02 08:49:14-03:00,26,803,2026-06-02 08:49:26-03:00,2026-06-02 08:49:54-03:00,2026-06-02 09:21:55,2026-06-02,8,49,Tuesday,12.0,28.0
B25529,-22.91084,-43.28885,2026-06-02 08:56:31-03:00,24,232,2026-06-02 08:56:35-03:00,2026-06-02 08:56:51-03:00,2026-06-02 09:21:55,2026-06-02,8,56,Tuesday,4.0,16.0
C50092,-22.9398,-43.24911,2026-06-02 09:14:22-03:00,0,301,2026-06-02 09:14:26-03:00,2026-06-02 09:14:50-03:00,2026-06-02 09:21:55,2026-06-02,9,14,Tuesday,4.0,24.0
D13047,-22.92085,-43.22396,2026-06-02 09:11:05-03:00,18,601,2026-06-02 09:11:15-03:00,2026-06-02 09:11:29-03:00,2026-06-02 09:21:55,2026-06-02,9,11,Tuesday,10.0,14.0
A50167,-22.91318,-43.20768,2026-06-02 09:04:55-03:00,22,302,2026-06-02 09:05:05-03:00,2026-06-02 09:05:05-03:00,2026-06-02 09:21:55,2026-06-02,9,4,Tuesday,10.0,0.0
D17029,-22.99444,-43.65042,2026-06-02 08:44:27-03:00,31,885,2026-06-02 08:44:34-03:00,2026-06-02 08:44:56-03:00,2026-06-02 09:21:55,2026-06-02,8,44,Tuesday,7.0,22.0
D33191,-22.8787,-43.51187,2026-06-02 08:22:13-03:00,0,737,2026-06-02 08:22:19-03:00,2026-06-02 08:22:44-03:00,2026-06-02 09:21:55,2026-06-02,8,22,Tuesday,6.0,25.0
C47928,-22.97675,-43.41475,2026-06-02 09:20:38-03:00,0,2613,2026-06-02 09:20:47-03:00,2026-06-02 09:21:15-03:00,2026-06-02 09:21:55,2026-06-02,9,20,Tuesday,9.0,28.0
B63043,-22.90989,-43.20509,2026-06-02 09:12:28-03:00,1,335,2026-06-02 09:12:36-03:00,2026-06-02 09:13:06-03:00,2026-06-02 09:21:55,2026-06-02,9,12,Tuesday,8.0,30.0
B32774,-22.81446,-43.187,2026-06-02 09:06:37-03:00,0,TREINO,2026-06-02 09:06:43-03:00,2026-06-02 09:06:57-03:00,2026-06-02 09:21:55,2026-06-02,9,6,Tuesday,6.0,14.0
D86334,-22.87807,-43.53622,2026-06-02 08:37:45-03:00,0,853,2026-06-02 08:37:50-03:00,2026-06-02 08:38:07-03:00,2026-06-02 09:21:55,2026-06-02,8,37,Tuesday,5.0,17.0
C30115,-22.94227,-43.38442,2026-06-02 08:27:08-03:00,9,881,2026-06-02 08:27:18-03:00,2026-06-02 08:27:47-03:00,2026-06-02 09:21:55,2026-06-02,8,27,Tuesday,10.0,29.0
C30209,-22.97906,-43.2227,2026-06-02 08:26:51-03:00,13,555,2026-06-02 08:26:57-03:00,2026-06-02 08:27:18-03:00,2026-06-02 09:21:55,2026-06-02,8,26,Tuesday,6.0,21.0
D12054,-22.84144,-43.55382,2026-06-02 08:56:14-03:00,20,895,2026-06-02 08:56:24-03:00,2026-06-02 08:56:44-03:00,2026-06-02 09:21:55,2026-06-02,8,56,Tuesday,10.0,20.0
D33413,-22.86359,-43.4151,2026-06-02 09:17:45-03:00,19,759,2026-06-02 09:17:54-03:00,2026-06-02 09:18:24-03:00,2026-06-02 09:21:55,2026-06-02,9,17,Tuesday,9.0,30.0
C30040,-22.98958,-43.3662,2026-06-02 08:55:33-03:00,6,565,2026-06-02 08:55:44-03:00,2026-06-02 08:56:04-03:00,2026-06-02 09:21:55,2026-06-02,8,55,Tuesday,11.0,20.0
D33175,-22.87176,-43.50995,2026-06-02 09:02:44-03:00,35,731,2026-06-02 09:02:48-03:00,2026-06-02 09:02:58-03:00,2026-06-02 09:21:55,2026-06-02,9,2,Tuesday,4.0,10.0
D33262,-22.87692,-43.4221,2026-06-02 08:45:51-03:00,25,SV777,2026-06-02 08:45:59-03:00,2026-06-02 08:46:29-03:00,2026-06-02 09:21:55,2026-06-02,8,45,Tuesday,8.0,30.0
D17082,-22.91683,-43.60768,2026-06-02 09:11:54-03:00,0,849,2026-06-02 09:12:00-03:00,2026-06-02 09:12:30-03:00,2026-06-02 09:21:55,2026-06-02,9,11,Tuesday,6.0,30.0
B58093,-22.90678,-43.21299,2026-06-02 08:31:17-03:00,49,312,2026-06-02 08:31:26-03:00,2026-06-02 08:31:56-03:00,2026-06-02 09:21:55,2026-06-02,8,31,Tuesday,9.0,30.0
D86344,-22.9015,-43.55557,2026-06-02 09:08:53-03:00,0,864,2026-06-02 09:08:56-03:00,2026-06-02 09:09:04-03:00,2026-06-02 09:21:55,2026-06-02,9,8,Tuesday,3.0,8.0
B58062,-22.90812,-43.26787,2026-06-02 09:08:36-03:00,9,625,2026-06-02 09:08:39-03:00,2026-06-02 09:09:14-03:00,2026-06-02 09:21:55,2026-06-02,9,8,Tuesday,3.0,35.0
A48004,-22.9046,-43.18315,2026-06-02 09:01:43-03:00,11,415,2026-06-02 09:01:48-03:00,2026-06-02 09:02:17-03:00,2026-06-02 09:21:55,2026-06-02,9,1,Tuesday,5.0,29.0
B44661,-22.88546,-43.30007,2026-06-02 08:33:30-03:00,0,638,2026-06-02 08:34:06-03:00,2026-06-02 08:34:18-03:00,2026-06-02 09:21:55,2026-06-02,8,33,Tuesday,36.0,12.0
D86304,-22.85845,-43.37937,2026-06-02 08:49:27-03:00,14,918,2026-06-02 08:49:38-03:00,2026-06-02 08:49:58-03:00,2026-06-02 09:21:55,2026-06-02,8,49,Tuesday,11.0,20.0
A29020,-22.9626,-43.20398,2026-06-02 08:57:31-03:00,7,461,2026-06-02 08:57:37-03:00,2026-06-02 08:57:59-03:00,2026-06-02 09:21:55,2026-06-02,8,57,Tuesday,6.0,22.0
B71008,-22.96882,-43.18607,2026-06-02 09:18:56-03:00,0,457,2026-06-02 09:19:04-03:00,2026-06-02 09:19:20-03:00,2026-06-02 09:21:55,2026-06-02,9,18,Tuesday,8.0,16.0
B27006,-22.89658,-43.20489,2026-06-02 09:20:57-03:00,0,355,2026-06-02 09:21:06-03:00,2026-06-02 09:21:12-03:00,2026-06-02 09:21:55,2026-06-02,9,20,Tuesday,9.0,6.0
B58021,-22.89973,-43.22824,2026-06-02 09:13:27-03:00,1,312,2026-06-02 09:13:33-03:00,2026-06-02 09:13:50-03:00,2026-06-02 09:21:55,2026-06-02,9,13,Tuesday,6.0,17.0
